year,age_group,id,country,path,uid
1995,14-17,0259,YOU,image_data/drawings/TRAIN_00/modified_drawings/1995_14-17_0259_YOU_R_C_gray.jpg,1995_14-17_0259_YOU_R_C_gray
1995,14-17,0259,YOU,image_data/drawings/TRAIN_00/modified_drawings/1995_14-17_0259_YOU_R_C_oil.jpg,1995_14-17_0259_YOU_R_C_oil
1995,14-17,0259,YOU,image_data/drawings/TRAIN_00/modified_drawings/1995_14-17_0259_YOU_R_C_pencil_gray.jpg,1995_14-17_0259_YOU_R_C_pencil_gray
1995,14-17,0259,YOU,image_data/drawings/TRAIN_00/modified_drawings/1995_14-17_0259_YOU_R_C_texture.jpg,1995_14-17_0259_YOU_R_C_texture
1995,14-17,0259,YOU,image_data/drawings/TRAIN_00/modified_drawings/1995_14-17_0259_YOU_R_C_water.jpg,1995_14-17_0259_YOU_R_C_water
1995,14-17,0280,GRC,image_data/drawings/TRAIN_00/modified_drawings/1995_14-17_0280_GRE_R_C_gray.jpg,1995_14-17_0280_GRE_R_C_gray
1995,14-17,0280,GRC,image_data/drawings/TRAIN_00/modified_drawings/1995_14-17_0280_GRE_R_C_oil.jpg,1995_14-17_0280_GRE_R_C_oil
1995,14-17,0280,GRC,image_data/drawings/TRAIN_00/modified_drawings/1995_14-17_0280_GRE_R_C_pencil_gray.jpg,1995_14-17_0280_GRE_R_C_pencil_gray
1995,14-17,0280,GRC,image_data/drawings/TRAIN_00/modified_drawings/1995_14-17_0280_GRE_R_C_texture.jpg,1995_14-17_0280_GRE_R_C_texture
1995,14-17,0280,GRC,image_data/drawings/TRAIN_00/modified_drawings/1995_14-17_0280_GRE_R_C_water.jpg,1995_14-17_0280_GRE_R_C_water
1995,14-17,0335,FRA,image_data/drawings/TRAIN_00/modified_drawings/1995_14-17_0335_FRA_R_C_gray.jpg,1995_14-17_0335_FRA_R_C_gray
1995,14-17,0335,FRA,image_data/drawings/TRAIN_00/modified_drawings/1995_14-17_0335_FRA_R_C_oil.jpg,1995_14-17_0335_FRA_R_C_oil
1995,14-17,0335,FRA,image_data/drawings/TRAIN_00/modified_drawings/1995_14-17_0335_FRA_R_C_pencil_gray.jpg,1995_14-17_0335_FRA_R_C_pencil_gray
1995,14-17,0335,FRA,image_data/drawings/TRAIN_00/modified_drawings/1995_14-17_0335_FRA_R_C_texture.jpg,1995_14-17_0335_FRA_R_C_texture
1995,14-17,0335,FRA,image_data/drawings/TRAIN_00/modified_drawings/1995_14-17_0335_FRA_R_C_water.jpg,1995_14-17_0335_FRA_R_C_water
1995,14-17,0710,LKA,image_data/drawings/TRAIN_00/modified_drawings/1995_14-17_0710_SRI_R_C_gray.jpg,1995_14-17_0710_SRI_R_C_gray
1995,14-17,0710,LKA,image_data/drawings/TRAIN_00/modified_drawings/1995_14-17_0710_SRI_R_C_oil.jpg,1995_14-17_0710_SRI_R_C_oil
1995,14-17,0710,LKA,image_data/drawings/TRAIN_00/modified_drawings/1995_14-17_0710_SRI_R_C_pencil_gray.jpg,1995_14-17_0710_SRI_R_C_pencil_gray
1995,14-17,0710,LKA,image_data/drawings/TRAIN_00/modified_drawings/1995_14-17_0710_SRI_R_C_texture.jpg,1995_14-17_0710_SRI_R_C_texture
1995,14-17,0710,LKA,image_data/drawings/TRAIN_00/modified_drawings/1995_14-17_0710_SRI_R_C_water.jpg,1995_14-17_0710_SRI_R_C_water
1996,14-17,0051,BLR,image_data/drawings/TRAIN_00/modified_drawings/1996_14-17_0051_BIE_R_C_gray.jpg,1996_14-17_0051_BIE_R_C_gray
1996,14-17,0051,BLR,image_data/drawings/TRAIN_00/modified_drawings/1996_14-17_0051_BIE_R_C_oil.jpg,1996_14-17_0051_BIE_R_C_oil
1996,14-17,0051,BLR,image_data/drawings/TRAIN_00/modified_drawings/1996_14-17_0051_BIE_R_C_pencil_gray.jpg,1996_14-17_0051_BIE_R_C_pencil_gray
